Filename,LOC,ForLoops,WhileLoops,IfStatements,O0ExecTime,O1ExecTime,O2ExecTime,O3ExecTime,OfastExecTime,BestFlag
program_18.c,39,1,2,5,0.0385210514068603,0.0336229801177978,0.0512988567352294,0.0370001792907714,0.0575158596038818,-O1
program_19.c,17,1,0,2,0.0265135765075683,0.0210006237030029,0.0245149135589599,0.0380284786224365,0.0735418796539306,-O1
program_20.c,33,1,1,5,0.0349996089935302,0.0365107059478759,0.0665259361267089,0.0625231266021728,0.055016279220581,-O0
program_21.c,57,2,1,9,0.0335125923156738,0.0279512405395507,0.0324873924255371,0.0495259761810302,0.046318769454956,-O1
program_22.c,17,1,0,2,0.0210003852844238,0.0329983234405517,0.0260078907012939,0.0589962005615234,0.0805184841156005,-O0
program_23.c,41,2,0,7,0.0240013599395751,0.0420010089874267,0.0310010910034179,0.0655264854431152,0.1690988540649414,-O0
program_24.c,57,2,2,8,0.0300002098083496,0.0383036136627197,0.0290009975433349,0.0490021705627441,0.0620021820068359,-O2
program_25.c,41,0,1,7,0.0735182762145996,0.0495171546936035,0.024001121520996,0.0394961833953857,0.0629997253417968,-O2
program_26.c,19,0,1,2,0.0855271816253662,0.1840531826019287,0.0695142745971679,0.0365283489227294,0.0445244312286376,-O3
program_27.c,65,3,1,12,0.0537374019622802,0.0725429058074951,0.0615234375,0.029564619064331,0.0425262451171875,-O3
program_28.c,19,0,1,2,0.0365152359008789,0.0540006160736084,0.0299990177154541,0.0656659603118896,0.0440073013305664,-O2
program_29.c,17,1,0,2,0.082054853439331,0.0400037765502929,0.0525171756744384,0.0581474304199218,0.0275228023529052,-Ofast
program_30.c,17,1,0,2,0.0695292949676513,0.0515425205230712,0.0435256958007812,0.0405271053314209,0.0540056228637695,-O3
program_31.c,23,0,2,2,0.1085259914398193,0.0240001678466796,0.0755198001861572,0.0329995155334472,0.0355176925659179,-O1
program_32.c,17,1,0,2,0.0409991741180419,0.0365173816680908,0.0550012588500976,0.0350005626678466,0.0360066890716552,-O3
program_33.c,47,2,0,8,0.0515296459197998,0.0675115585327148,0.0275251865386962,0.0805213451385498,0.045668601989746,-O2
program_34.c,19,0,1,2,0.0435171127319335,0.0400102138519287,0.0269999504089355,0.0639994144439697,0.0550005435943603,-O2
program_35.c,93,1,1,18,0.0370056629180908,0.0408828258514404,0.052527904510498,0.0319995880126953,0.0310070514678955,-Ofast
program_36.c,17,1,0,2,0.0375256538391113,0.0303623676300048,0.0279996395111084,0.0639994144439697,0.055999755859375,-O2
program_37.c,77,1,3,14,0.0550010204315185,0.0304343700408935,0.0330018997192382,0.02699875831604,0.0320003032684326,-O3
program_38.c,55,2,3,7,0.0300002098083496,0.0360019207000732,0.0580077171325683,0.0345187187194824,0.1840317249298095,-O0
program_39.c,29,1,1,4,0.0349996089935302,0.0465278625488281,0.0259995460510253,0.0405077934265136,0.0365259647369384,-O2
program_40.c,33,0,2,4,0.0300080776214599,0.0310072898864746,0.0259969234466552,0.0454881191253662,0.122525930404663,-O2
program_41.c,95,3,3,15,0.0409991741180419,0.043525218963623,0.0355198383331298,0.0295140743255615,0.0459997653961181,-O3
program_42.c,51,4,3,6,0.0490005016326904,0.069528579711914,0.0249943733215332,0.0330016613006591,0.0985176563262939,-O2
program_43.c,55,1,0,9,0.0399999618530273,0.0460081100463867,0.0259990692138671,0.0345203876495361,0.0675289630889892,-O2
program_44.c,35,0,2,4,0.0641727447509765,0.0495295524597168,0.0330080986022949,0.0319964885711669,0.0895736217498779,-O3
program_45.c,33,1,1,4,0.0449991226196289,0.0355267524719238,0.0285255908966064,0.0625264644622802,0.0300023555755615,-O2
program_46.c,39,1,0,7,0.0445244312286376,0.050999641418457,0.0470087528228759,0.0710070133209228,0.0340020656585693,-Ofast
program_47.c,19,0,1,2,0.0299990177154541,0.0245172977447509,0.033998966217041,0.0472102165222168,0.1392998695373535,-O1
program_48.c,19,0,1,2,0.043520450592041,0.0605263710021972,0.0400004386901855,0.0835263729095459,0.0560007095336914,-O2
program_49.c,67,2,2,12,0.0465161800384521,0.0269999504089355,0.0575170516967773,0.0380082130432128,0.0360009670257568,-O1
program_50.c,71,5,0,12,0.0455255508422851,0.0490007400512695,0.0295171737670898,0.0470097064971923,0.0455260276794433,-O2
program_51.c,59,1,2,10,0.0400092601776123,0.0619993209838867,0.0359959602355957,0.0405235290527343,0.0230011940002441,-Ofast
program_52.c,19,0,1,2,0.0390000343322753,0.0419988632202148,0.0515258312225341,0.0270078182220459,0.0410006046295166,-O3
program_53.c,19,0,1,2,0.0817770957946777,0.0499999523162841,0.022998571395874,0.0495274066925048,0.03652024269104,-O2
program_54.c,19,0,1,2,0.10652756690979,0.0410013198852539,0.0285248756408691,0.0425224304199218,0.0595481395721435,-O2
program_55.c,31,2,1,4,0.0605309009552001,0.0270001888275146,0.0505256652832031,0.0775253772735595,0.0785126686096191,-O1
program_56.c,97,2,5,14,0.0310089588165283,0.0260069370269775,0.1615321636199951,0.0630114078521728,0.1115303039550781,-O1
program_57.c,41,0,1,7,0.0735285282135009,0.0339994430541992,0.0440013408660888,0.0515143871307373,0.0365149974822998,-O1
program_58.c,21,1,0,3,0.0645179748535156,0.0365269184112548,0.0530109405517578,0.0673873424530029,0.0395143032073974,-O1
program_59.c,17,1,0,2,0.1125290393829345,0.048999547958374,0.0290017127990722,0.0565259456634521,0.0265223979949951,-Ofast
program_60.c,17,1,0,2,0.0529983043670654,0.0355281829833984,0.0259997844696044,0.0299994945526123,0.0790059566497802,-O2
program_61.c,39,0,1,6,0.025001049041748,0.0500006675720214,0.0530002117156982,0.0585217475891113,0.095522403717041,-O0
program_62.c,29,5,1,2,0.0315182209014892,0.0575289726257324,0.0575323104858398,0.0250029563903808,0.1005222797393798,-O3
program_63.c,49,0,3,7,0.0410079956054687,0.0535235404968261,0.0280048847198486,0.0565214157104492,0.1385400295257568,-O2
